frame,passer,receiver
10655,8476,8480
10660,8476,8595
10663,8595,8476
10667,8595,8476
10672,8476,8595
10676,8595,8476
10688,8476,8563
10692,8563,8478
10706,8480,8478
10716,8478,8534
10746,8534,8478
10750,8478,8563
10780,8478,8475
10792,8475,8598
10795,8598,8580
10801,8760,8475
10825,8475,8478
10828,8478,8475
10848,8475,8478
10880,8478,8826
10892,8826,8478
10898,8534,8830
10905,8534,8478
10910,8478,8475
10947,8475,8478
10951,8478,8884
10963,8478,8884
10968,8478,8884
10973,8884,8478
10976,8478,8534
10993,8534,8786
10997,8786,8534
11002,8786,8820
11026,8820,8478
11044,8478,8962
11062,8962,8475
11119,8475,8580
11134,8962,8820
11148,8820,8580
11159,8820,8477
11164,8477,8478
11169,8478,8580
11187,9156,8675
11192,8675,9156
11197,8675,9156
11200,9156,8675
11208,8675,8712
11221,9199,8712
11233,8712,9199
11244,9199,9196
11278,9199,9156
11327,9156,9364
11341,9364,9308
11353,9308,9303
11358,9303,8675
11371,8675,9302
11391,9370,9407
11399,9407,9499
11426,9499,9500
11443,9500,9534
11448,9534,9533
11485,9533,9569
11495,9569,9532
11499,9532,9536
11508,9599,9569
11514,9599,9532
11522,9532,9599
11531,9528,9526
11538,9526,9599
11551,9599,9526
11556,9642,9526
11564,9537,9526
11581,9537,9673
11584,9673,9657
11591,9537,9673
11598,9526,9784
11615,9784,9785
11627,9885,9909
11638,9909,9932
11650,9909,9883
11654,9909,9883
11695,9883,9993
11698,9993,9943
11711,9943,9885
11715,9943,9885
11723,9885,9943
11749,10018,9889
11762,9889,9993
11765,9993,9889
11773,9889,10018
11776,10018,9889
11796,9889,10018
11804,10018,10045
11807,10045,10018
11814,9977,9943
11820,9943,9977
11827,9943,10018
11832,10018,10080
11835,10080,9970
11856,10080,10085
11863,10080,10085
11870,9908,10080
11878,9908,10080
11882,9908,9913
11885,9913,10080
11901,10080,9913
11908,10085,9993
11936,10085,9889
11941,9889,9943
11959,9943,9889
11964,9889,10112
12005,10112,10080
12010,10080,10112
12017,10112,10080
12023,10080,10112
12033,10112,10080
12039,10112,9943
12044,9943,10298
12057,10314,10312
12070,10314,10312
12073,10312,10314
12081,10312,10293
12085,10293,10295
12097,10295,10314
12104,10312,10295
12123,10295,10293
12129,10314,10295
12133,10314,10295
12142,10314,10384
12159,10384,10293
12162,10293,10314
12185,10481,10487
12197,10487,10481
12200,10481,10487
12207,10523,10487
12278,10487,10475
12340,10475,10490
12347,10475,10490
12364,10594,10641
12370,10641,10594
12375,10641,10594
12447,10594,10718
12488,10837,10854
12508,10854,10837
12516,10837,10895
12548,10837,10853
12558,10837,10854
12565,10854,10853
12573,10853,10858
12581,10853,10858
12591,10858,10956
12606,10956,10906
12618,10906,10842
12658,10842,11044
12672,11044,10842
12675,10842,10894
12696,10894,10842
12765,10842,11208
12770,11208,11229
12775,11230,11208
12782,11208,11254
12791,11208,11266
12796,11266,11263
12804,11208,11280
12809,11280,11208
12836,11208,11263
12844,11266,11280
12855,11370,11384
12864,11394,11445
12870,11445,11416
12875,11416,11477
12881,11477,11457
12888,11457,11451
12924,11530,11529
12979,11529,11551
12987,11551,11556
12990,11556,11564
12993,11564,11550
13014,11550,11642
13040,11550,11710
13049,11710,11705
13069,11705,11706
13088,11706,11742
13096,11742,11705
13100,11706,11742
13104,11742,11705
13108,11705,11774
13114,11774,11705
13118,11705,11751
13126,11705,11751
13147,11751,11705
13152,11705,11751
13199,11751,11705
13205,11705,11850
13248,11701,11850
13288,11701,11871
13304,11871,11958
13309,11958,12094
13321,12043,12057
13366,12057,12189
13370,12189,12194
13374,12057,12007
13385,11919,12231
13390,12231,12279
13404,12287,12281
13410,12281,12057
13415,12057,12287
13428,12287,12057
13474,11953,11871
13514,11871,12287
13523,12287,11871
13542,11871,11953
13547,11953,12281
13557,12281,12057
13572,12057,12394
13577,12057,12394
13588,12057,12394
13598,12057,12042
13608,12042,12394
13620,12394,12042
13655,12042,12150
13658,12150,12042
13669,12042,12150
13684,12042,12087
13694,12042,11871
13721,11871,11953
13738,11871,12150
13746,12150,12492
13750,12492,12281
13757,12281,12509
13765,12509,12527
13785,12527,12509
13796,12509,12150
13800,12509,12220
13804,12220,12281
13810,12363,12214
13816,12585,12548
13821,12548,12575
13829,12575,12582
13835,12582,12575
13868,12582,12615
13872,12615,12582
13892,12582,12615
13913,12582,12615
13923,12582,12575
13931,12575,12582
13951,12582,12575
13954,12575,12582
13967,12575,12669
13986,12669,12582
13990,12582,12615
13999,12615,12548
14013,12548,12615
14032,12548,12214
14040,12214,12752
14046,12669,12695
14083,12695,12689
14122,12689,12695
14145,12695,12669
14177,12669,12907
14180,12907,12669
14186,12669,12843
14193,12843,12669
14209,12669,12846
14237,12846,12669
14244,12669,12913
14297,12669,12843
14317,12843,12582
14323,12582,12913
14330,12582,12913
14339,12582,12913
14343,12913,12846
14348,12846,12913
14357,12846,12913
14362,12846,12979
14369,12979,12913
14373,13034,13149
14404,13092,13034
14430,13034,12846
14449,12846,13231
14488,13231,13264
14492,13231,13370
14495,13370,13231
14521,13231,13438
14527,13438,13453
14544,13453,13456
14547,13456,13453
14560,13456,13431
14568,13431,13456
14632,13440,13456
14638,13536,13456
14683,13536,13561
14703,13561,13441
14721,13441,13675
14732,13675,13433
14742,13433,13431
14755,13433,13740
14767,13758,13740
14782,13740,13732
14787,13740,13732
14793,13751,13732
14797,13732,13783
14810,13768,13751
14817,13751,13742
14820,13742,13751
14844,13751,13815
14850,13815,13751
14871,13817,13833
14875,13833,13848
14883,13817,13848
14891,13848,13817
14894,13817,13848
14916,13848,13909
14923,13909,13920
14926,13920,13909
14932,13920,13926
14936,13926,13920
14953,13926,13920
14956,13920,13926
14961,13926,13983
14969,13926,13994
14977,13926,14018
14983,14018,14024
15030,14024,14031
15053,14031,14042
15059,14042,14031
15064,14042,14031
15069,14031,14042
15081,14031,14042
15152,14031,14029
15198,14029,14178
15203,14038,14129
15220,14129,14038
15241,14038,14213
15258,14038,14029
15309,14029,14285
15317,14285,14024
15344,14266,14110
15386,14110,14178
15393,14178,14110
15409,14178,14029
15412,14029,14024
15426,14024,14266
15440,14266,14024
15458,14024,14389
15479,14389,14254
15518,14254,14406
15540,14406,14082
15548,14406,14254
15560,14254,14082
15571,14254,14403
15589,14406,14530
15608,14530,14082
15618,14082,14530
15644,14530,14129
15651,14129,14530
15659,14530,14555
15664,14568,14574
15674,14575,14568
15809,14568,14636
15820,14636,14640
15831,14641,14636
15837,14643,14636
15845,14641,14636
15848,14636,14641
15851,14641,14638
15859,14660,14638
15864,14643,14674
15870,14643,14678
15875,14678,14643
15886,14638,14643
15890,14643,14636
15896,14636,14643
15903,14636,14643
15906,14643,14636
15911,14636,14641
15919,14641,14700
15929,14638,14636
15940,14678,14636
15958,14700,14660
15970,14700,14637
15975,14660,14637
15984,14700,14678
15992,14678,14638
16003,14638,14678
16010,14636,14678
16016,14678,14809
16029,14636,14678
16035,14636,14809
16051,14809,14692
16055,14809,14692
16069,14692,14632
16076,14632,14854
16081,14809,14632
16088,14692,14809
16096,14692,14809
16104,14809,14869
16112,14692,14854
16118,14854,14890
16132,14854,14632
16143,14632,14862
16149,14862,14942
16152,14942,14692
16161,14942,14862
16172,14862,14692
16191,14862,14900
16196,14900,14632
16216,14633,14952
16223,14952,14633
16238,14952,15067
16285,15067,14900
16289,14900,14952
16307,15127,14633
16316,14633,14632
16320,14632,14633
16334,14632,14633
16358,14633,15126
16364,15127,14633
16368,15127,14633
16374,15127,14633
16383,15127,14633
16395,15127,14633
16402,14633,15127
16406,15127,14633
16532,14633,15310
16542,15310,15343
16546,15343,15310
16552,15310,15317
16555,15317,15343
16561,15317,15343
16569,15343,15276
16572,15276,15048
16638,15048,15459
16653,15459,15457
16672,15459,15500
16677,15500,15457
16681,15457,15459
16686,15459,15558
